kota_administrasi,kecamatan,kelurahan,rw,tgl_kejadian,bulan_kejadian,rainFall_mm,rainDuration_minutes,ketinggian_air_min_cm,ketinggian_air_max_cm,waktu_kejadian
Jakarta Barat,Kalideres,Kalideres,10,2024-11-26,November,97.6,211,15,109,08:20
Jakarta Barat,Kalideres,Kalideres,06,2024-12-07,Desember,96.4,124,22,92,02:18
Jakarta Barat,Kalideres,Kalideres,15,2024-12-19,Desember,106.1,113,21,71,23:51
Jakarta Barat,Kalideres,Semanan,04,2024-01-24,Januari,116.4,220,8,68,13:48
Jakarta Barat,Kalideres,Semanan,05,2024-01-12,Januari,136.5,200,19,73,23:07
Jakarta Barat,Kalideres,Semanan,11,2024-02-13,Februari,179.2,151,16,127,05:35
Jakarta Barat,Kalideres,Semanan,10,2024-02-14,Februari,164.1,169,6,110,23:02
Jakarta Barat,Kalideres,Semanan,01,2024-03-17,Maret,110.5,209,17,107,18:42
Jakarta Barat,Kalideres,Semanan,07,2024-03-11,Maret,93.2,208,19,101,03:13
Jakarta Barat,Kalideres,Semanan,12,2024-04-22,April,22.7,79,4,36,08:15
Jakarta Barat,Kalideres,Semanan,14,2024-05-03,Mei,4.9,74,15,32,12:07
Jakarta Barat,Kalideres,Semanan,13,2024-06-22,Juni,56.1,16,5,7,20:53
Jakarta Barat,Kalideres,Semanan,10,2024-07-26,Juli,18.1,43,1,38,09:54
Jakarta Barat,Kalideres,Semanan,05,2024-08-03,Agustus,60.5,33,3,27,11:09
Jakarta Barat,Kalideres,Semanan,15,2024-09-08,September,18.6,40,0,22,17:57
Jakarta Barat,Kalideres,Semanan,13,2024-10-23,Oktober,149.9,140,22,105,02:39
Jakarta Barat,Kalideres,Semanan,14,2024-10-13,Oktober,135.3,174,29,104,01:49
Jakarta Barat,Kalideres,Semanan,07,2024-11-10,November,164.7,210,40,52,05:20
Jakarta Barat,Kalideres,Semanan,11,2024-11-15,November,168.5,176,47,63,09:18
Jakarta Barat,Kalideres,Semanan,04,2024-12-03,Desember,188.0,161,32,98,19:58
Jakarta Barat,Kalideres,Semanan,06,2024-12-21,Desember,212.0,154,31,91,03:40
Jakarta Barat,Palmerah,Slipi,05,2024-01-12,Januari,128.3,256,42,56,01:44
Jakarta Barat,Palmerah,Slipi,08,2024-01-01,Januari,132.8,249,26,48,18:56
Jakarta Barat,Palmerah,Slipi,01,2024-02-04,Februari,82.7,69,15,114,14:42
Jakarta Barat,Palmerah,Slipi,13,2024-02-07,Februari,120.6,64,24,120,23:13
Jakarta Barat,Palmerah,Slipi,13,2024-03-11,Maret,141.4,205,33,87,17:19
Jakarta Barat,Palmerah,Slipi,03,2024-03-26,Maret,137.4,204,30,80,13:06
Jakarta Barat,Palmerah,Slipi,08,2024-04-06,April,57.8,15,0,13,18:48
Jakarta Barat,Palmerah,Slipi,01,2024-05-23,Mei,32.2,35,2,42,15:03
Jakarta Barat,Palmerah,Slipi,14,2024-06-04,Juni,34.8,30,6,20,03:50
Jakarta Barat,Palmerah,Slipi,06,2024-07-11,Juli,50.9,68,7,14,09:14
Jakarta Barat,Palmerah,Slipi,04,2024-08-20,Agustus,66.0,27,1,29,01:10
Jakarta Barat,Palmerah,Slipi,02,2024-09-04,September,52.3,26,6,21,20:29
Jakarta Barat,Palmerah,Slipi,11,2024-10-21,Oktober,180.6,88,37,105,01:05
Jakarta Barat,Palmerah,Slipi,02,2024-10-25,Oktober,170.7,109,21,82,11:26
Jakarta Barat,Palmerah,Slipi,12,2024-11-10,November,172.7,195,7,43,11:39
Jakarta Barat,Palmerah,Slipi,13,2024-11-26,November,171.4,209,2,63,18:44
Jakarta Barat,Palmerah,Slipi,11,2024-12-19,Desember,79.2,68,18,79,13:00
Jakarta Barat,Palmerah,Slipi,10,2024-12-26,Desember,86.7,79,20,82,19:07
Jakarta Barat,Palmerah,Kota Bambu Utara,13,2024-01-20,Januari,118.8,114,38,92,05:48
Jakarta Barat,Palmerah,Kota Bambu Utara,04,2024-01-21,Januari,112.2,92,24,72,12:16
Jakarta Barat,Palmerah,Kota Bambu Utara,02,2024-02-05,Februari,46.9,118,26,126,07:02
Jakarta Barat,Palmerah,Kota Bambu Utara,12,2024-02-19,Februari,56.7,119,38,122,21:27
Jakarta Barat,Palmerah,Kota Bambu Utara,04,2024-03-05,Maret,51.2,205,34,130,18:15
Jakarta Barat,Palmerah,Kota Bambu Utara,06,2024-03-04,Maret,59.6,169,46,116,15:46
Jakarta Barat,Palmerah,Kota Bambu Utara,02,2024-04-14,April,1.5,32,6,15,15:07
Jakarta Barat,Palmerah,Kota Bambu Utara,14,2024-05-27,Mei,54.4,18,7,27,10:56
Jakarta Barat,Palmerah,Kota Bambu Utara,10,2024-06-17,Juni,61.6,22,12,13,14:07
Jakarta Barat,Palmerah,Kota Bambu Utara,07,2024-07-24,Juli,21.0,3,0,2,18:37
Jakarta Barat,Palmerah,Kota Bambu Utara,11,2024-08-27,Agustus,54.1,55,5,28,04:40
Jakarta Barat,Palmerah,Kota Bambu Utara,05,2024-09-19,September,53.5,53,11,23,05:43
Jakarta Barat,Palmerah,Kota Bambu Utara,06,2024-10-14,Oktober,97.9,97,27,100,07:49
Jakarta Barat,Palmerah,Kota Bambu Utara,08,2024-10-05,Oktober,95.9,73,23,96,04:12
Jakarta Barat,Palmerah,Kota Bambu Utara,14,2024-11-22,November,33.0,56,25,50,07:26
Jakarta Barat,Palmerah,Kota Bambu Utara,10,2024-11-18,November,34.3,59,12,62,23:17
Jakarta Barat,Palmerah,Kota Bambu Utara,11,2024-12-25,Desember,129.9,179,32,93,14:32
Jakarta Barat,Palmerah,Kota Bambu Utara,07,2024-12-24,Desember,108.2,175,30,76,09:13
Jakarta Barat,Palmerah,Jati Pulo,01,2024-01-03,Januari,170.0,79,17,63,16:11
Jakarta Barat,Palmerah,Jati Pulo,11,2024-01-06,Januari,166.7,104,25,60,12:22
Jakarta Barat,Palmerah,Jati Pulo,08,2024-02-07,Februari,187.4,111,9,68,17:35
Jakarta Barat,Palmerah,Jati Pulo,01,2024-02-10,Februari,177.4,96,16,76,09:16
Jakarta Barat,Palmerah,Jati Pulo,05,2024-03-08,Maret,148.6,221,16,84,22:31
Jakarta Barat,Palmerah,Jati Pulo,03,2024-03-25,Maret,177.1,200,22,85,20:25
Jakarta Barat,Palmerah,Jati Pulo,11,2024-04-09,April,53.0,49,6,15,22:45
Jakarta Barat,Palmerah,Jati Pulo,08,2024-05-19,Mei,49.5,37,11,25,01:27
Jakarta Barat,Palmerah,Jati Pulo,07,2024-06-11,Juni,9.5,55,6,14,18:03
Jakarta Barat,Palmerah,Jati Pulo,13,2024-07-07,Juli,20.1,44,4,45,22:01
Jakarta Barat,Palmerah,Jati Pulo,14,2024-08-28,Agustus,31.8,45,3,16,04:31
Jakarta Barat,Palmerah,Jati Pulo,08,2024-09-20,September,38.5,15,9,28,21:25
Jakarta Barat,Palmerah,Jati Pulo,14,2024-10-07,Oktober,95.5,217,10,67,07:57
Jakarta Barat,Palmerah,Jati Pulo,11,2024-10-07,Oktober,99.6,221,25,66,04:53
Jakarta Barat,Palmerah,Jati Pulo,06,2024-11-27,November,98.0,138,32,67,09:32
Jakarta Barat,Palmerah,Jati Pulo,04,2024-11-13,November,116.2,133,32,61,21:56
Jakarta Barat,Palmerah,Jati Pulo,12,2024-12-24,Desember,124.4,144,25,52,23:08
Jakarta Barat,Palmerah,Jati Pulo,10,2024-12-22,Desember,126.1,147,20,56,01:12
Jakarta Barat,Palmerah,Palmerah,04,2024-01-09,Januari,70.2,75,23,99,21:30
Jakarta Barat,Palmerah,Palmerah,05,2024-01-01,Januari,87.8,82,39,73,12:11
Jakarta Barat,Palmerah,Palmerah,06,2024-02-07,Februari,170.1,176,18,119,17:22
Jakarta Barat,Palmerah,Palmerah,07,2024-02-15,Februari,155.7,163,17,111,10:06
Jakarta Barat,Palmerah,Palmerah,06,2024-03-24,Maret,62.1,161,40,91,20:25
Jakarta Barat,Palmerah,Palmerah,02,2024-03-02,Maret,79.8,148,29,99,20:05
Jakarta Barat,Palmerah,Palmerah,15,2024-04-15,April,52.3,29,4,10,01:40
Jakarta Barat,Palmerah,Palmerah,02,2024-05-19,Mei,0.0,22,4,24,05:18
Jakarta Barat,Palmerah,Palmerah,07,2024-06-07,Juni,22.8,33,12,17,20:26
Jakarta Barat,Palmerah,Palmerah,06,2024-07-06,Juli,72.2,50,6,25,07:34
Jakarta Barat,Palmerah,Palmerah,12,2024-08-20,Agustus,23.8,17,2,28,05:40
Jakarta Barat,Palmerah,Palmerah,10,2024-09-16,September,37.8,35,3,38,04:09
Jakarta Barat,Palmerah,Palmerah,12,2024-10-25,Oktober,104.0,185,29,123,22:40
Jakarta Barat,Palmerah,Palmerah,09,2024-10-04,Oktober,104.6,163,30,111,14:24
Jakarta Barat,Palmerah,Palmerah,12,2024-11-09,November,153.5,188,40,51,11:28
Jakarta Barat,Palmerah,Palmerah,09,2024-11-09,November,181.7,183,23,33,17:54
Jakarta Barat,Palmerah,Palmerah,03,2024-12-24,Desember,171.3,135,20,68,01:20
Jakarta Barat,Palmerah,Palmerah,01,2024-12-10,Desember,139.7,131,21,38,05:57
Jakarta Barat,Palmerah,Kemanggisan,07,2024-01-22,Januari,201.2,86,10,102,12:36
Jakarta Barat,Palmerah,Kemanggisan,15,2024-01-16,Januari,172.7,76,18,118,00:51
Jakarta Barat,Palmerah,Kemanggisan,08,2024-02-15,Februari,74.6,106,19,40,00:54
Jakarta Barat,Palmerah,Kemanggisan,10,2024-02-03,Februari,79.6,112,18,42,01:42
Jakarta Barat,Palmerah,Kemanggisan,12,2024-03-24,Maret,74.0,48,28,74,20:36
Jakarta Barat,Palmerah,Kemanggisan,06,2024-03-04,Maret,69.0,54,35,75,19:13
Jakarta Barat,Palmerah,Kemanggisan,04,2024-04-03,April,8.6,56,8,38,22:31
Jakarta Barat,Palmerah,Kemanggisan,09,2024-05-27,Mei,70.4,38,6,24,14:08
Jakarta Barat,Palmerah,Kemanggisan,15,2024-06-06,Juni,49.7,41,2,15,07:25
Jakarta Barat,Palmerah,Kemanggisan,14,2024-07-22,Juli,10.5,36,5,11,00:23
Jakarta Barat,Palmerah,Kemanggisan,08,2024-08-09,Agustus,11.0,17,9,22,18:54
Jakarta Barat,Palmerah,Kemanggisan,08,2024-09-07,September,30.1,29,2,32,16:33
Jakarta Barat,Palmerah,Kemanggisan,02,2024-10-19,Oktober,77.7,72,14,103,17:15
Jakarta Barat,Palmerah,Kemanggisan,06,2024-10-02,Oktober,74.6,98,28,98,17:18
Jakarta Barat,Palmerah,Kemanggisan,12,2024-11-13,November,101.8,167,19,102,15:08
Jakarta Barat,Palmerah,Kemanggisan,15,2024-11-26,November,89.1,138,32,119,22:47
Jakarta Barat,Palmerah,Kemanggisan,08,2024-12-07,Desember,146.7,85,37,79,02:10
Jakarta Barat,Palmerah,Kemanggisan,03,2024-12-12,Desember,131.8,74,33,70,14:51
Jakarta Barat,Palmerah,Kota Bambu Selatan,13,2024-01-02,Januari,139.4,212,15,83,05:11
Jakarta Barat,Palmerah,Kota Bambu Selatan,02,2024-01-18,Januari,143.1,198,17,98,07:33
Jakarta Barat,Palmerah,Kota Bambu Selatan,05,2024-02-12,Februari,176.9,239,29,35,22:50
Jakarta Barat,Palmerah,Kota Bambu Selatan,05,2024-02-27,Februari,165.8,244,40,49,17:26
Jakarta Barat,Palmerah,Kota Bambu Selatan,02,2024-03-02,Maret,103.5,130,28,102,14:32
Jakarta Barat,Palmerah,Kota Bambu Selatan,09,2024-03-09,Maret,75.8,146,23,110,04:47
Jakarta Barat,Palmerah,Kota Bambu Selatan,08,2024-04-14,April,26.1,50,4,20,05:56
Jakarta Barat,Palmerah,Kota Bambu Selatan,03,2024-05-18,Mei,32.0,28,4,30,23:00
Jakarta Barat,Palmerah,Kota Bambu Selatan,15,2024-06-26,Juni,62.2,65,1,15,17:24
Jakarta Barat,Palmerah,Kota Bambu Selatan,10,2024-07-09,Juli,0.9,17,4,8,05:18
Jakarta Barat,Palmerah,Kota Bambu Selatan,01,2024-08-02,Agustus,52.9,62,1,31,08:48
Jakarta Barat,Palmerah,Kota Bambu Selatan,02,2024-09-27,September,52.3,75,6,22,20:23
Jakarta Barat,Palmerah,Kota Bambu Selatan,07,2024-10-27,Oktober,184.5,214,7,71,02:21
Jakarta Barat,Palmerah,Kota Bambu Selatan,12,2024-10-25,Oktober,167.2,219,17,75,09:06
Jakarta Barat,Palmerah,Kota Bambu Selatan,09,2024-11-07,November,161.0,186,35,60,08:37
Jakarta Barat,Palmerah,Kota Bambu Selatan,06,2024-11-17,November,178.5,200,18,64,08:27
Jakarta Barat,Palmerah,Kota Bambu Selatan,02,2024-12-11,Desember,124.8,161,5,115,04:06
Jakarta Barat,Palmerah,Kota Bambu Selatan,15,2024-12-28,Desember,126.0,194,20,108,13:24
Jakarta Barat,Kembangan,Kembangan Selatan,09,2024-01-14,Januari,82.2,84,28,99,12:13
Jakarta Barat,Kembangan,Kembangan Selatan,07,2024-01-18,Januari,70.3,85,25,82,21:43
Jakarta Barat,Kembangan,Kembangan Selatan,01,2024-02-01,Februari,121.6,186,19,92,20:49
Jakarta Barat,Kembangan,Kembangan Selatan,08,2024-02-17,Februari,104.5,168,27,76,15:50
Jakarta Barat,Kembangan,Kembangan Selatan,03,2024-03-23,Maret,86.4,178,21,100,08:24
Jakarta Barat,Kembangan,Kembangan Selatan,06,2024-03-18,Maret,91.8,162,7,106,00:52
Jakarta Barat,Kembangan,Kembangan Selatan,06,2024-04-10,April,10.5,49,2,18,10:44
Jakarta Barat,Kembangan,Kembangan Selatan,14,2024-05-20,Mei,63.6,33,12,30,03:24
Jakarta Barat,Kembangan,Kembangan Selatan,14,2024-06-08,Juni,45.4,22,4,20,00:26
Jakarta Barat,Kembangan,Kembangan Selatan,14,2024-07-01,Juli,60.3,49,5,33,18:53
Jakarta Barat,Kembangan,Kembangan Selatan,14,2024-08-22,Agustus,15.0,43,2,19,14:20
Jakarta Barat,Kembangan,Kembangan Selatan,11,2024-09-05,September,1.7,40,5,8,12:43
Jakarta Barat,Kembangan,Kembangan Selatan,02,2024-10-17,Oktober,69.3,95,39,67,17:56
Jakarta Barat,Kembangan,Kembangan Selatan,07,2024-10-09,Oktober,72.5,101,33,50,00:30
Jakarta Barat,Kembangan,Kembangan Selatan,07,2024-11-17,November,82.7,238,13,103,04:19
Jakarta Barat,Kembangan,Kembangan Selatan,04,2024-11-21,November,59.7,239,11,124,07:53
Jakarta Barat,Kembangan,Kembangan Selatan,03,2024-12-23,Desember,100.8,175,33,100,03:37
Jakarta Barat,Kembangan,Kembangan Selatan,02,2024-12-03,Desember,104.2,180,25,106,03:00
Jakarta Barat,Kembangan,Kembangan Utara,13,2024-01-05,Januari,126.1,145,27,51,11:28
Jakarta Barat,Kembangan,Kembangan Utara,10,2024-01-25,Januari,120.4,149,22,48,16:34
Jakarta Barat,Kembangan,Kembangan Utara,03,2024-02-08,Februari,123.9,115,47,114,03:23
Jakarta Barat,Kembangan,Kembangan Utara,15,2024-02-08,Februari,116.6,105,42,123,12:03
Jakarta Barat,Kembangan,Kembangan Utara,15,2024-03-21,Maret,75.3,86,17,97,16:45
Jakarta Barat,Kembangan,Kembangan Utara,01,2024-03-14,Maret,112.3,99,7,94,21:17
Jakarta Barat,Kembangan,Kembangan Utara,03,2024-04-14,April,37.0,11,7,33,02:14
Jakarta Barat,Kembangan,Kembangan Utara,11,2024-05-01,Mei,22.8,40,7,17,05:03
Jakarta Barat,Kembangan,Kembangan Utara,06,2024-06-22,Juni,56.2,48,2,31,02:07
Jakarta Barat,Kembangan,Kembangan Utara,11,2024-07-23,Juli,24.3,50,7,47,08:57
Jakarta Barat,Kembangan,Kembangan Utara,02,2024-08-02,Agustus,53.1,30,1,22,17:18
Jakarta Barat,Kembangan,Kembangan Utara,01,2024-09-27,September,7.7,79,4,8,16:13
Jakarta Barat,Kembangan,Kembangan Utara,13,2024-10-26,Oktober,82.1,125,21,81,21:53
Jakarta Barat,Kembangan,Kembangan Utara,03,2024-10-02,Oktober,95.7,99,23,81,12:03
Jakarta Barat,Kembangan,Kembangan Utara,04,2024-11-25,November,106.6,114,39,93,20:04
Jakarta Barat,Kembangan,Kembangan Utara,07,2024-11-17,November,139.2,146,42,85,00:19
Jakarta Barat,Kembangan,Kembangan Utara,12,2024-12-28,Desember,125.2,61,33,75,17:11
Jakarta Barat,Kembangan,Kembangan Utara,15,2024-12-03,Desember,124.7,80,26,78,16:09
Jakarta Barat,Kembangan,Meruya Utara,15,2024-01-01,Januari,92.6,144,29,98,05:47
Jakarta Barat,Kembangan,Meruya Utara,11,2024-01-22,Januari,64.7,127,32,115,20:17
Jakarta Barat,Kembangan,Meruya Utara,15,2024-02-12,Februari,89.9,148,10,88,02:36
Jakarta Barat,Kembangan,Meruya Utara,05,2024-02-08,Februari,116.0,140,15,63,07:02
Jakarta Barat,Kembangan,Meruya Utara,07,2024-03-22,Maret,179.4,155,26,95,17:02
Jakarta Barat,Kembangan,Meruya Utara,10,2024-03-10,Maret,180.0,183,22,97,15:50
Jakarta Barat,Kembangan,Meruya Utara,14,2024-04-15,April,4.7,43,1,2,23:18
Jakarta Barat,Kembangan,Meruya Utara,13,2024-05-28,Mei,46.4,26,11,43,09:03
Jakarta Barat,Kembangan,Meruya Utara,06,2024-06-15,Juni,13.7,43,1,47,20:54
Jakarta Barat,Kembangan,Meruya Utara,03,2024-07-13,Juli,22.2,33,1,11,23:23
Jakarta Barat,Kembangan,Meruya Utara,02,2024-08-27,Agustus,22.6,24,11,28,01:16
Jakarta Barat,Kembangan,Meruya Utara,01,2024-09-03,September,28.3,22,8,35,22:37
Jakarta Barat,Kembangan,Meruya Utara,14,2024-10-04,Oktober,86.8,164,14,106,17:49
Jakarta Barat,Kembangan,Meruya Utara,13,2024-10-01,Oktober,61.9,155,23,81,04:03
Jakarta Barat,Kembangan,Meruya Utara,13,2024-11-24,November,204.5,170,24,43,08:43
Jakarta Barat,Kembangan,Meruya Utara,01,2024-11-28,November,177.6,145,22,33,14:43
Jakarta Barat,Kembangan,Meruya Utara,01,2024-12-22,Desember,92.7,102,4,43,12:14
Jakarta Barat,Kembangan,Meruya Utara,13,2024-12-25,Desember,77.4,141,1,36,01:27
Jakarta Barat,Kembangan,Srengseng,12,2024-01-08,Januari,161.9,171,35,107,07:41
Jakarta Barat,Kembangan,Srengseng,07,2024-01-04,Januari,177.8,147,20,87,12:03
Jakarta Barat,Kembangan,Srengseng,04,2024-02-13,Februari,94.4,75,13,63,06:14
Jakarta Barat,Kembangan,Srengseng,10,2024-02-19,Februari,82.5,73,12,66,01:37
Jakarta Barat,Kembangan,Srengseng,14,2024-03-09,Maret,171.6,171,13,92,17:42
Jakarta Barat,Kembangan,Srengseng,03,2024-03-07,Maret,196.0,148,23,105,04:03
Jakarta Barat,Kembangan,Srengseng,10,2024-04-01,April,52.0,52,4,23,05:56
Jakarta Barat,Kembangan,Srengseng,11,2024-05-10,Mei,46.2,21,11,36,11:58
Jakarta Barat,Kembangan,Srengseng,13,2024-06-10,Juni,9.1,33,12,14,20:58
Jakarta Barat,Kembangan,Srengseng,07,2024-07-01,Juli,49.5,13,11,22,05:12
Jakarta Barat,Kembangan,Srengseng,12,2024-08-16,Agustus,13.5,8,5,14,04:48
Jakarta Barat,Kembangan,Srengseng,15,2024-09-22,September,40.2,32,0,37,15:52
Jakarta Barat,Kembangan,Srengseng,12,2024-10-12,Oktober,113.5,201,34,109,01:58
Jakarta Barat,Kembangan,Srengseng,03,2024-10-12,Oktober,120.8,209,39,96,14:42
Jakarta Barat,Kembangan,Srengseng,04,2024-11-24,November,175.6,165,32,112,06:35
Jakarta Barat,Kembangan,Srengseng,12,2024-11-16,November,198.3,158,22,112,05:53
Jakarta Barat,Kembangan,Srengseng,03,2024-12-24,Desember,159.4,108,28,124,15:15
Jakarta Barat,Kembangan,Srengseng,01,2024-12-28,Desember,159.3,107,17,121,13:59
Jakarta Barat,Kembangan,Joglo,02,2024-01-27,Januari,143.3,148,16,72,22:59
Jakarta Barat,Kembangan,Joglo,06,2024-01-13,Januari,141.8,158,34,87,02:33
Jakarta Barat,Kembangan,Joglo,08,2024-02-10,Februari,139.4,139,27,80,10:43
Jakarta Barat,Kembangan,Joglo,02,2024-02-20,Februari,104.0,123,22,98,14:53
Jakarta Barat,Kembangan,Joglo,04,2024-03-20,Maret,101.2,165,35,103,06:26
Jakarta Barat,Kembangan,Joglo,12,2024-03-13,Maret,79.8,126,27,112,01:42
Jakarta Barat,Kembangan,Joglo,04,2024-04-01,April,36.0,42,5,15,03:06
Jakarta Barat,Kembangan,Joglo,02,2024-05-01,Mei,42.7,24,2,19,15:14
Jakarta Barat,Kembangan,Joglo,13,2024-06-27,Juni,28.0,49,12,27,22:46
Jakarta Barat,Kembangan,Joglo,12,2024-07-28,Juli,1.3,28,6,6,23:41
Jakarta Barat,Kembangan,Joglo,15,2024-08-22,Agustus,16.7,33,3,38,02:27
Jakarta Barat,Kembangan,Joglo,01,2024-09-15,September,11.9,6,13,19,12:28
Jakarta Barat,Kembangan,Joglo,12,2024-10-01,Oktober,113.3,134,48,121,20:33
Jakarta Barat,Kembangan,Joglo,12,2024-10-19,Oktober,103.8,121,28,125,17:02
Jakarta Barat,Kembangan,Joglo,15,2024-11-15,November,192.6,139,33,81,00:16
Jakarta Barat,Kembangan,Joglo,05,2024-11-11,November,207.0,139,29,91,15:24
Jakarta Barat,Kembangan,Joglo,07,2024-12-16,Desember,73.0,185,26,38,04:54
Jakarta Barat,Kembangan,Joglo,09,2024-12-03,Desember,53.8,179,23,59,00:14
Jakarta Barat,Kembangan,Meruya Selatan,10,2024-01-06,Januari,104.1,197,27,84,23:30
Jakarta Barat,Kembangan,Meruya Selatan,08,2024-01-24,Januari,100.8,168,37,69,04:27
Jakarta Barat,Kembangan,Meruya Selatan,10,2024-02-10,Februari,145.8,107,43,47,01:38
Jakarta Barat,Kembangan,Meruya Selatan,08,2024-02-05,Februari,144.2,96,26,48,12:47
Jakarta Barat,Kembangan,Meruya Selatan,12,2024-03-01,Maret,114.5,237,18,121,21:01
Jakarta Barat,Kembangan,Meruya Selatan,08,2024-03-05,Maret,134.1,231,20,119,13:51
Jakarta Barat,Kembangan,Meruya Selatan,07,2024-04-02,April,25.5,60,7,21,15:36
Jakarta Barat,Kembangan,Meruya Selatan,12,2024-05-07,Mei,35.0,3,11,41,07:08
Jakarta Barat,Kembangan,Meruya Selatan,11,2024-06-17,Juni,34.8,67,1,4,22:17
Jakarta Barat,Kembangan,Meruya Selatan,15,2024-07-15,Juli,46.9,69,7,32,22:26
Jakarta Barat,Kembangan,Meruya Selatan,01,2024-08-19,Agustus,5.6,40,10,33,22:18
Jakarta Barat,Kembangan,Meruya Selatan,07,2024-09-19,September,48.7,17,5,23,22:36
Jakarta Barat,Kembangan,Meruya Selatan,12,2024-10-01,Oktober,80.8,151,15,69,22:30
Jakarta Barat,Kembangan,Meruya Selatan,05,2024-10-12,Oktober,95.2,154,22,80,13:43
Jakarta Barat,Kembangan,Meruya Selatan,08,2024-11-28,November,151.8,113,16,110,19:06
Jakarta Barat,Kembangan,Meruya Selatan,10,2024-11-23,November,129.8,114,20,84,07:49
Jakarta Barat,Kembangan,Meruya Selatan,07,2024-12-17,Desember,159.2,110,24,136,13:13
Jakarta Barat,Kembangan,Meruya Selatan,14,2024-12-22,Desember,148.4,109,33,135,10:25
Jakarta Selatan,Kebayoran Baru,Selong,04,2024-01-12,Januari,169.8,120,36,60,12:57
Jakarta Selatan,Kebayoran Baru,Selong,15,2024-01-20,Januari,159.5,139,30,59,12:12
Jakarta Selatan,Kebayoran Baru,Selong,02,2024-02-05,Februari,111.7,179,30,35,12:33
Jakarta Selatan,Kebayoran Baru,Selong,02,2024-02-18,Februari,125.8,216,29,47,18:06
Jakarta Selatan,Kebayoran Baru,Selong,10,2024-03-05,Maret,62.6,206,30,84,19:05
Jakarta Selatan,Kebayoran Baru,Selong,05,2024-03-22,Maret,45.6,196,50,72,12:34
Jakarta Selatan,Kebayoran Baru,Selong,10,2024-04-09,April,62.0,9,11,40,15:06
Jakarta Selatan,Kebayoran Baru,Selong,12,2024-05-16,Mei,56.4,57,1,21,22:41
Jakarta Selatan,Kebayoran Baru,Selong,12,2024-06-11,Juni,17.9,45,9,10,16:48
Jakarta Selatan,Kebayoran Baru,Selong,10,2024-07-20,Juli,55.3,73,8,28,11:37
Jakarta Selatan,Kebayoran Baru,Selong,12,2024-08-23,Agustus,2.0,29,12,16,02:02
Jakarta Selatan,Kebayoran Baru,Selong,01,2024-09-19,September,35.4,3,2,25,00:17
Jakarta Selatan,Kebayoran Baru,Selong,13,2024-10-27,Oktober,170.6,156,40,65,11:37
Jakarta Selatan,Kebayoran Baru,Selong,10,2024-10-09,Oktober,174.6,151,43,58,17:17
Jakarta Selatan,Kebayoran Baru,Selong,13,2024-11-19,November,109.3,234,46,83,23:05
Jakarta Selatan,Kebayoran Baru,Selong,13,2024-11-04,November,78.7,247,40,105,18:08
Jakarta Selatan,Kebayoran Baru,Selong,02,2024-12-07,Desember,134.6,192,20,87,23:53
Jakarta Selatan,Kebayoran Baru,Selong,04,2024-12-05,Desember,138.6,184,26,99,16:43
Jakarta Selatan,Kebayoran Baru,Gunung,10,2024-01-05,Januari,62.5,93,41,71,11:54
Jakarta Selatan,Kebayoran Baru,Gunung,07,2024-01-01,Januari,88.9,116,27,70,02:13
Jakarta Selatan,Kebayoran Baru,Gunung,12,2024-02-03,Februari,130.3,66,37,54,02:41
Jakarta Selatan,Kebayoran Baru,Gunung,03,2024-02-24,Februari,159.0,58,45,60,06:09
Jakarta Selatan,Kebayoran Baru,Gunung,07,2024-03-05,Maret,170.1,151,30,61,15:54
Jakarta Selatan,Kebayoran Baru,Gunung,14,2024-03-10,Maret,169.3,171,29,42,12:29
Jakarta Selatan,Kebayoran Baru,Gunung,09,2024-04-08,April,43.4,62,5,45,07:33
Jakarta Selatan,Kebayoran Baru,Gunung,09,2024-05-15,Mei,27.9,40,3,7,13:13
Jakarta Selatan,Kebayoran Baru,Gunung,10,2024-06-17,Juni,46.2,57,8,23,14:40
Jakarta Selatan,Kebayoran Baru,Gunung,02,2024-07-09,Juli,40.0,1,4,12,15:00
Jakarta Selatan,Kebayoran Baru,Gunung,08,2024-08-02,Agustus,38.8,49,1,18,16:49
Jakarta Selatan,Kebayoran Baru,Gunung,15,2024-09-13,September,64.8,50,6,23,21:21
Jakarta Selatan,Kebayoran Baru,Gunung,01,2024-10-14,Oktober,162.6,59,10,100,21:19
Jakarta Selatan,Kebayoran Baru,Gunung,03,2024-10-06,Oktober,148.2,58,17,78,15:32
Jakarta Selatan,Kebayoran Baru,Gunung,09,2024-11-17,November,130.4,102,20,53,08:41
Jakarta Selatan,Kebayoran Baru,Gunung,08,2024-11-27,November,129.7,88,30,52,06:07
Jakarta Selatan,Kebayoran Baru,Gunung,05,2024-12-06,Desember,46.7,79,30,78,21:19
Jakarta Selatan,Kebayoran Baru,Gunung,11,2024-12-26,Desember,63.5,99,26,101,15:12
Jakarta Selatan,Kebayoran Baru,Kramat Pela,01,2024-01-14,Januari,164.4,80,5,104,23:02
Jakarta Selatan,Kebayoran Baru,Kramat Pela,09,2024-01-10,Januari,163.2,91,21,92,15:34
Jakarta Selatan,Kebayoran Baru,Kramat Pela,04,2024-02-24,Februari,47.5,187,17,34,22:29
Jakarta Selatan,Kebayoran Baru,Kramat Pela,02,2024-02-17,Februari,47.8,179,28,37,22:44
Jakarta Selatan,Kebayoran Baru,Kramat Pela,01,2024-03-09,Maret,206.7,106,36,59,12:16
